Name,HR,DH,P,L,wRC,EV,LA,K,BA
Aaron Judge,62,R,Outfield,AL,207,95.9,15.0,25.1,311
Kyle Schwarber,46,L,Outfield,NL,128,93.3,19.2,29.9,218
Pete Alonso,40,R,Infield,NL,143,89.8,18.2,18.7,271
Austin Riley,38,R,Infield,NL,142,92.5,12.9,24.2,273
Yordan Alvarez,37,L,Outfield,AL,185,95.2,12.3,18.9,306
Christian Walker,36,R,Infield,NL,122,90.0,17.0,19.6,242
Mookie Betts,35,R,Outfield,NL,144,90.5,18.6,16.3,269
Paul Goldschmidt,35,R,Infield,NL,177,90.8,15.7,21.7,317
Rowdy Tellez,35,L,Infield,NL,110,91.1,15.3,20.2,219
Matt Olson,34,L,Infield,NL,120,92.9,16.1,24.3,240
Shohei Ohtani,34,L,Outfield,AL,142,92.9,12.1,24.2,273
Anthony Santander,33,S,Outfield,AL,120,90.1,21.4,18.9,240
Corey Seager,33,L,Infield,AL,117,91.1,13.6,15.5,245
Anthony Rizzo,32,L,Infield,AL,132,89.4,19.3,18.4,224
Manny Machado,32,R,Infield,NL,152,91.5,16.0,20.7,298
Vladimir Guerrero Jr.,32,R,Infield,AL,132,92.8,4.3,16.4,274
Eugenio Suarez,31,R,Infield,AL,131,89.8,19.9,31.2,236
Willy Adames,31,R,Infield,NL,109,88.9,18.9,26.9,238
Kyle Tucker,30,L,Outfield,AL,129,90.0,19.0,15.6,257
Nolan Arenado,30,R,Infield,NL,151,88.7,21.7,11.6,293
Rhys Hoskins,30,R,Infield,NL,122,90.1,18.1,25.1,246
C.J. Cron,29,R,Infield,NL,101,88.7,14.2,25.9,257
Hunter Renfroe,29,R,Outfield,NL,124,90.5,17.7,23.2,255
Jose Ramirez,29,S,Infield,AL,139,87.7,20.7,12,280
Brandon Drury,28,R,Infield,NL,123,89.1,13.8,22.2,263
Jose Altuve,28,R,Infield,AL,164,85.9,16.1,14.4,300
Julio Rodriguez,28,R,Outfield,AL,146,92.0,10.1,25.9,284
Adolis Garcia,27,R,Outfield,AL,112,92.1,13.2,27.9,250
Bryan Reynolds,27,S,Outfield,NL,125,90.2,12.0,23,262
Daulton Varsho,27,L,Outfield,NL,106,87.7,14.9,24.5,235
Juan Soto,27,L,Outfield,NL,145,91.0,9.1,14.5,242
Matt Chapman,27,R,Infield,AL,117,92.2,19.0,27.4,229
Nathaniel Lowe,27,L,Infield,AL,143,90.2,8.2,22.8,302
